name,price,length,width,handle,static_wgt,swing_wgt,twist_wgt,balance,power,pop,spin,price_q,length_q,width_q,handle_q,static_wgt_q,swing_wgt_q,twist_wgt_q,balance_q,power_q,pop_q,spin_q,embed_x,embed_y
Volair Alto 16mm,99.99,16.5,7.5,5.5,8.2,119.8,6.2,24.4,55.1,34.8,1737,0,3,1,1,3,3,2,3,0,0,0,11.542679,4.774619
Volair Alto 14mm,99.99,16.5,7.5,5.5,7.7,110.3,5.75,24.0,54.7,35.3,1798,0,3,1,1,0,1,0,2,0,1,0,10.1850815,4.680498
Volair Corto 16mm,99.99,15.88,8.12,5.5,8.1,110.1,7.1,23.8,55.1,34.3,1984,0,0,4,1,2,1,4,1,0,0,1,5.4363008,4.98634
Volair Corto 14mm,99.99,15.88,8.12,5.5,7.8,103.5,6.85,23.4,54.5,35.6,1892,0,0,4,1,0,0,3,0,0,1,0,4.845803,3.8704708
Volair Mach 1 14mm,139.99,16.5,7.5,5.5,8.0,114.0,5.92,24.2,54.6,34.8,2123,0,3,1,1,1,2,1,3,0,0,2,10.25684,4.3194776
Volair Mach 1 16mm,139.99,16.5,7.5,5.5,7.7,110.0,5.72,24.0,54.1,34.5,2002,0,3,1,1,0,1,0,2,0,0,1,10.119637,4.60975
Volair Mach 1 Forza 16mm,179.99,16.5,7.5,5.5,8.0,115.0,6.4,24.1,55.9,35.7,2205,1,3,1,1,1,2,2,3,1,1,3,9.576308,3.7570336
Volair Mach 1 Forza 14mm,179.99,16.5,7.5,5.5,7.8,111.0,6.16,23.9,54.1,35.7,2332,1,3,1,1,0,1,1,2,0,1,4,9.576754,3.9530852
Volair Mach 2 16mm,139.99,15.88,8.12,5.5,8.0,107.2,6.9,23.4,55.5,35.8,2329,0,0,4,1,1,0,4,0,0,1,4,5.2897553,4.061209
Volair Mach 2 14mm,139.99,15.88,8.12,5.5,7.8,105.3,6.75,23.3,53.6,34.7,2345,0,0,4,1,0,0,3,0,0,0,4,5.0446506,4.102224
Volair  Mach 2 Forza 16mm,179.99,15.88,8.12,5.5,8.1,113.4,7.3,23.8,56.0,34.7,2330,1,0,4,1,2,1,4,1,1,0,4,5.6577573,4.821203
Volair  Mach 2 Forza 14mm,179.99,15.88,8.12,5.5,7.8,107.7,6.8,23.7,55.3,36.0,2236,1,0,4,1,0,0,3,1,0,2,3,5.400927,3.8906696
Wilson Vesper Control 17 17mm,249.0,15.98,7.87,5.0,8.1,114.3,6.15,23.9,54.0,34.8,2013,3,0,3,0,2,2,1,2,0,0,1,4.654827,4.5979447
Wilson Vesper Power 14 14mm,249.0,16.42,7.4,5.25,8.1,117.6,5.45,23.8,57.8,37.2,2009,3,2,0,0,2,3,0,1,3,4,1,9.944593,2.2372184
